TIME,PM1,PM25,PM10,PRESSURE,HUMIDITY,TEMPERATURE,NO2,O3
2021-10-21 21:00:00,2.1,3.1,3.62,1009.47,71.96,9.43,29.4,87.19
2021-10-21 22:00:00,1.96,2.97,3.51,1009.67,71.4,9.27,30.39,88.94
2021-10-21 23:00:00,1.48,2.15,2.53,1009.87,72.6,9.16,29.38,89.44
2021-10-22 00:00:00,1.23,1.74,2.02,1010.1,74.58,8.91,29.99,90.31
2021-10-22 01:00:00,1.17,1.82,2.19,1010.31,74.4,8.88,31.13,91.56
2021-10-22 02:00:00,1.1,1.72,1.97,1010.56,76.05,8.58,33.42,90.38
2021-10-22 03:00:00,3.38,4.93,5.72,1011.27,79.27,8.1,39.24,78.19
2021-10-22 04:00:00,5.09,8.16,9.57,1012.26,79.39,7.57,43.64,75.99
2021-10-22 05:00:00,4.67,6.84,7.88,1013.1,79.25,7.38,49.41,62.31
2021-10-22 06:00:00,4.39,6.09,6.96,1014.23,84.88,7.01,44.06,59.09
2021-10-22 07:00:00,3.03,4.23,4.91,1014.7,85.0,7.15,35.02,72.19
2021-10-22 08:00:00,1.81,2.55,2.97,1015.04,74.03,8.26,28.29,77.54
2021-10-22 09:00:00,1.3,2.05,2.43,1015.22,65.65,9.22,24.37,79.25
2021-10-22 10:00:00,1.12,1.76,2.1,1015.0,59.29,10.03,27.1,87.03
2021-10-22 11:00:00,1.51,2.19,2.53,1014.43,52.64,10.93,29.88,90.28
2021-10-22 12:00:00,1.21,1.71,1.97,1013.75,55.34,11.15,24.02,87.62
2021-10-22 13:00:00,1.53,2.07,2.4,1013.4,55.01,12.3,21.12,82.13
2021-10-22 14:00:00,1.32,1.91,2.23,1013.49,55.82,12.58,21.7,88.1
2021-10-22 15:00:00,1.6,2.34,2.69,1013.56,60.6,10.3,38.58,104.88
2021-10-22 16:00:00,3.5,5.29,6.16,1013.88,61.08,8.89,42.0,94.29
2021-10-22 17:00:00,7.05,11.03,12.86,1014.27,62.0,8.69,41.02,79.76
2021-10-22 18:00:00,6.76,10.76,12.66,1014.98,66.83,7.88,37.4,78.61
2021-10-22 19:00:00,7.38,11.62,13.57,1015.51,68.01,7.3,36.61,76.16
2021-10-22 20:00:00,4.31,6.71,7.77,1015.79,67.21,6.66,33.59,80.68
2021-10-22 21:00:00,3.11,4.61,5.38,1016.1,69.24,6.71,32.34,83.26
2021-10-22 22:00:00,3.02,4.59,5.34,1016.35,69.32,6.5,33.87,84.19
2021-10-22 23:00:00,2.96,4.49,5.26,1016.6,71.54,6.28,35.22,82.53
2021-10-23 00:00:00,3.18,4.78,5.56,1017.3,71.85,6.09,36.71,79.28
2021-10-23 01:00:00,4.0,6.05,7.0,1018.02,77.95,5.61,38.04,74.25
2021-10-23 02:00:00,4.31,6.21,7.11,1018.85,84.73,5.18,39.79,74.14
2021-10-23 03:00:00,4.31,5.99,6.86,1019.82,87.34,4.53,41.45,74.59
2021-10-23 04:00:00,2.45,3.4,3.95,1020.49,89.15,4.07,42.24,84.15
2021-10-23 05:00:00,2.35,3.4,4.04,1021.14,88.25,3.86,38.15,82.9
2021-10-23 06:00:00,3.29,4.78,5.55,1021.89,88.57,4.12,37.98,78.09
2021-10-23 07:00:00,2.9,4.36,5.12,1022.42,82.05,5.02,33.15,79.57
2021-10-23 08:00:00,3.03,4.57,5.41,1022.95,74.04,6.42,30.92,80.88
2021-10-23 09:00:00,3.34,5.07,5.89,1023.38,71.25,7.34,30.53,82.2
2021-10-23 10:00:00,3.85,5.73,6.68,1023.64,68.1,7.87,30.93,82.62
2021-10-23 11:00:00,3.75,5.77,6.77,1023.74,69.58,7.78,35.78,87.42
2021-10-23 12:00:00,3.94,6.07,7.09,1023.98,70.74,7.65,35.22,86.63
2021-10-23 13:00:00,3.21,4.81,5.57,1024.39,73.17,7.44,36.57,86.71
2021-10-23 14:00:00,3.98,6.12,7.18,1024.75,75.98,6.95,32.36,81.17
2021-10-23 15:00:00,5.78,8.75,10.17,1025.72,78.58,6.24,39.44,85.97
2021-10-23 16:00:00,7.03,10.63,12.2,1026.85,87.71,4.53,44.01,87.51
2021-10-23 17:00:00,15.95,25.0,32.75,1027.53,86.38,4.34,46.63,53.13
2021-10-23 18:00:00,21.9,35.48,46.97,1028.16,85.47,4.17,50.59,45.48
2021-10-23 19:00:00,21.96,35.66,47.36,1028.82,88.37,3.34,50.84,47.76
2021-10-23 20:00:00,21.96,35.44,46.58,1029.62,88.74,3.55,46.06,39.09
2021-10-23 21:00:00,19.91,31.64,43.08,1030.2,90.13,3.43,46.28,29.9
2021-10-23 22:00:00,20.02,31.95,43.64,1030.71,92.21,3.06,47.25,22.93
2021-10-23 23:00:00,21.81,35.26,47.7,1031.0,91.56,2.65,46.17,29.46
2021-10-24 00:00:00,21.72,35.34,47.81,1031.51,92.95,2.26,45.04,26.38
2021-10-24 01:00:00,21.14,33.81,46.41,1031.73,93.7,2.09,46.35,19.48
2021-10-24 02:00:00,21.36,34.37,47.16,1031.91,93.2,1.75,46.07,17.51
2021-10-24 03:00:00,22.53,37.26,49.53,1032.22,93.63,1.4,45.51,17.05
2021-10-24 04:00:00,23.88,39.53,51.29,1032.57,94.31,0.98,46.19,17.1
2021-10-24 05:00:00,24.64,40.76,52.35,1033.16,91.17,0.67,51.0,14.99
2021-10-24 06:00:00,24.09,39.96,50.82,1033.75,89.94,1.22,49.82,17.6
2021-10-24 07:00:00,23.41,40.73,51.26,1034.02,88.5,2.32,47.62,47.33
2021-10-24 08:00:00,19.88,34.03,46.68,1034.38,82.25,4.05,43.82,55.32
2021-10-24 09:00:00,18.99,31.38,43.25,1034.45,76.95,6.13,38.32,55.42
2021-10-24 10:00:00,13.81,22.08,28.99,1034.21,73.32,7.89,25.9,57.1
2021-10-24 11:00:00,5.83,9.06,10.75,1033.77,67.34,8.82,23.81,69.95
2021-10-24 12:00:00,4.39,6.62,7.76,1033.17,62.73,9.99,19.64,67.99
2021-10-24 13:00:00,3.45,5.18,6.01,1032.79,60.74,11.22,14.05,61.1
2021-10-24 14:00:00,3.49,5.22,6.11,1032.5,62.43,12.11,9.72,64.57
2021-10-24 15:00:00,4.24,6.24,7.19,1031.95,66.02,9.17,47.12,79.81
2021-10-24 16:00:00,16.09,24.65,32.45,1032.0,71.01,6.25,74.78,28.61
2021-10-24 17:00:00,18.88,29.68,40.64,1031.92,76.49,4.52,67.2,20.63
2021-10-24 18:00:00,21.57,34.59,46.27,1031.61,80.64,3.17,60.12,16.27
2021-10-24 19:00:00,22.77,35.85,47.48,1031.6,83.48,2.12,55.42,15.57
2021-10-24 20:00:00,31.45,50.65,60.61,1031.47,83.98,1.54,51.77,15.47
2021-10-24 21:00:00,34.59,55.36,64.77,1031.44,83.22,1.12,47.4,16.62
2021-10-24 22:00:00,34.75,55.82,65.76,1031.36,85.34,0.36,45.72,17.53
2021-10-24 23:00:00,36.13,58.35,69.02,1031.21,87.53,-0.33,44.48,17.78
2021-10-25 00:00:00,35.63,57.71,67.9,1030.93,87.09,-0.48,43.43,17.72
2021-10-25 01:00:00,36.03,58.3,68.78,1030.5,87.95,-0.87,42.32,18.17
2021-10-25 02:00:00,34.9,56.38,66.34,1030.14,90.47,-1.36,42.71,16.35
2021-10-25 03:00:00,33.54,53.96,63.26,1029.88,93.56,-1.84,44.29,14.97
2021-10-25 04:00:00,31.59,50.56,59.98,1029.26,94.45,-2.18,46.94,12.86
2021-10-25 05:00:00,32.48,52.63,63.31,1028.97,95.25,-2.44,50.73,10.79
2021-10-25 06:00:00,26.29,41.61,53.06,1028.94,93.62,-1.88,52.38,12.57
2021-10-25 07:00:00,26.89,42.24,52.4,1028.78,87.76,0.23,58.24,12.41
2021-10-25 08:00:00,20.86,32.03,42.88,1028.28,79.75,3.32,55.29,11.18
2021-10-25 09:00:00,15.72,24.02,31.51,1027.71,71.32,6.17,43.91,18.54
2021-10-25 10:00:00,11.26,16.78,19.34,1027.09,63.17,8.3,32.93,34.62
2021-10-25 11:00:00,9.37,13.89,15.94,1026.42,59.69,10.04,33.8,41.93
2021-10-25 12:00:00,10.84,15.95,18.42,1025.94,56.53,11.64,40.92,41.8
2021-10-25 13:00:00,12.61,18.88,22.83,1025.11,57.11,12.89,35.07,25.15
2021-10-25 14:00:00,11.16,16.5,19.09,1024.33,62.44,13.83,23.29,18.26
